id,id_origen,objetivo_de_la_iniciativa,breve_descripcion,tipo_de_proyecto,codigo_de_sistema,sistema_de_abastecimiento,zona,prioridad,plazo,costo,estado,principal_reto_por_superar,observacion,responsabilidad_atencion,activo,caudal_estimado_lps,volumen_estimado_m3,km_estimado
1,,Incrementar la disponibilidad hídrica de Coronado,"Captación del río Cascajal, planta potabilizadora, estaciones de bombeo y conducciones hacia San Rafael y Chiverrales.",Aumento de Recurso Hídrico,MEA01,ME-A-01 Tres Rios,,,,,,Adquisición de terrenos y servidumbres; inscripción del BPIP; elaboración de estudios y diseños.,,Lo puede atender el GAM,,130.0,,
2,,Incrementar la disponibilidad hídrica de Coronado,"Captación del río Cascajal, planta potabilizadora, estaciones de bombeo y conducciones hacia San Rafael y Chiverrales.",Aumento de Recurso Hídrico,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Adquisición de terrenos y servidumbres; inscripción del BPIP; elaboración de estudios y diseños.,,,,35.0,,
3,,Incrementar la disponibilidad hídrica de Coronado,"Captación del río Cascajal, planta potabilizadora, estaciones de bombeo y conducciones hacia San Rafael y Chiverrales.",Aumento de Recurso Hídrico,MEA21,ME-A-21 Chiverrales,,,,,,Adquisición de terrenos y servidumbres; inscripción del BPIP; elaboración de estudios y diseños.,,,,20.0,,
4,,Incrementar la disponibilidad hídrica de Coronado,"Captación del río Cascajal, planta potabilizadora, estaciones de bombeo y conducciones hacia San Rafael y Chiverrales.",Aumento de Recurso Hídrico,MEA08,ME-A-08 Los Cuadros,,,,,,Adquisición de terrenos y servidumbres; inscripción del BPIP; elaboración de estudios y diseños.,,,,6.0,,
5,,Incrementar la disponibilidad hídrica de Coronado,"Captación del río Cascajal, planta potabilizadora, estaciones de bombeo y conducciones hacia San Rafael y Chiverrales.",Aumento de Recurso Hídrico,MEA13,ME-A-13 San Jeronimo de Moravia,,,,,,Adquisición de terrenos y servidumbres; inscripción del BPIP; elaboración de estudios y diseños.,,,,3.0,,
6,,Incrementar la disponibilidad hídrica de Coronado,"Captación del río Cascajal, planta potabilizadora, estaciones de bombeo y conducciones hacia San Rafael y Chiverrales.",Aumento de Recurso Hídrico,MEA10,ME-A-10 Mata de Plátano,,,,,,Adquisición de terrenos y servidumbres; inscripción del BPIP; elaboración de estudios y diseños.,,,,6.0,,
7,,Incorporar nuevas fuentes para Puriscal,Aprovechamiento de nacientes en Jigueral para reforzar la producción del sistema.,Aumento de Recurso Hídrico,MEA31,ME-A-31 Puriscal,,,,,,Inscripción del BPIP; adquisición de terrenos y servidumbres; elaboración de estudios y diseños.,,,,60.0,,
8,,Incrementar producción mediante pozo,"Perforación, equipamiento y puesta en operación de pozo en Jericó, con infraestructura de almacenamiento asociada.",Aumento de Recurso Hídrico,MEA30,ME-A-30 Jerico,,,,,,Estudios hidrogeológicos; adquisición de terreno; perforación y equipamiento del pozo.,,,,7.0,,
9,,Incrementar producción del sistema El Guarco,Perforación y equipamiento de dos nuevos pozos de producción para reforzar la disponibilidad hídrica del sistema.,Aumento de Recurso Hídrico,MEA27,ME-A-27 El Guarco,,,,,,Perforación de pozos; adquisición de terrenos y servidumbres; equipamiento electromecánico.,,,,20.0,,
10,,Incrementar producción del sistema El Guarco,"Gestión de convenio para préstamo, uso o aprovechamiento de pozo existente como fuente de apoyo al sistema.",Relación con ASADAS y terceros,MEA27,ME-A-27 El Guarco,,,,,,"Formalización del convenio; validación legal, técnica y operativa del pozo.",,,,,,
11,,Incorporar pozo Rancho Redondo,"Perforación de pozo, estación de bombeo e impulsión hacia el sector Vista de Mar.",Aumento de Recurso Hídrico,MEA28,ME-A-28 Vista de Mar,,,,,,Perforación del pozo; adquisición de terrenos y servidumbres; diseño y construcción de impulsión.,,,,5.0,,
12,,Aprovechar mayor caudal de Fuente San Pedro,Adecuación de infraestructura de captación y gestión de concesiones para aumentar el caudal aprovechable.,Aumento de Recurso Hídrico,MEA01,ME-A-01 Tres Rios,,,,,,,,,,30.0,,
13,,Aprovechar mayor caudal de Fuente San Pedro,Adecuación de infraestructura de captación y gestión de concesiones para aumentar el caudal aprovechable.,Aumento de Recurso Hídrico,MEA22,ME-A-22 Pizote,,,,,,Modificación de concesiones; obras de captación y adecuación hidráulica.,Descartado por bajo caudal en época seca.,,,20.0,,
14,,Modernizar Planta Potabilizadora Guadalupe,"Remodelación integral de la planta potabilizadora para aumentar confiabilidad, capacidad operativa y continuidad del tratamiento.",Mejora en procesos de potabilización,MEA02,ME-A-02 Guadalupe,,,,,,Diseño y ejecución de obras sin afectar la operación continua del sistema.,"Iniciativa por valorar, considerando la carencia de recurso hídrico del sistema.",,,,,
15,,"Aumentar almacenamiento en Escazú, tanque Entierrillos",Construcción de tanque de almacenamiento para reforzar el sector Colinas de Montealegre.,Mejora en Almacenamiento,MEA07,ME-A-07 San Antonio de Escazu,,,,,,Obtención de financiamiento; diseño y construcción del tanque.,,,,,4500.0,
16,,Mejorar abastecimiento de San Jerónimo,"Construcción de nuevo tanque, estación de bombeo e impulsión para el sector alto, junto con división operativa del sistema.",Mejora en Almacenamiento,MEA13,ME-A-13 San Jeronimo de Moravia,,,,,,Obtención de terreno para tanque; perforación del pozo; elaboración de estudios y diseños.,,,,,1000.0,
17,,Mejorar abastecimiento de Coronado,Construcción de impulsión desde Guadalupe hacia los tanques de San Rafael para reforzar el abastecimiento.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Construcción de impulsión; adecuaciones hidráulicas y operativas entre sistemas.,,,,7.0,,
18,,Reducir déficit en Salitral,Interconexión Salitral–Chirracal para transferir agua desde Potrerillos y reducir déficit operativo.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA05,ME-A-05 Salitral,,,,,,Construcción de conducción e interconexión; integración operativa con Potrerillos.,En ejecución.,,,15.0,,
19,,Incrementar abastecimiento al sur de San José,Nueva estación de bombeo y línea de impulsión Uruca–Tanques del Sur para reforzar el abastecimiento del sector sur.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA17,ME-A-17 La Valencia,,,,,,Alta inversión; requerimientos energéticos; construcción de infraestructura electromecánica y conducción.,En ejecución.,,,500.0,,
20,,Reforzar abastecimiento de Zapote y sectores del sur,Aprovechamiento de caudales provenientes de Tanques del Sur mediante interconexiones y adecuaciones hidráulicas.,Mejora en trasvase de agua entre sistemas de abastecimiento,MEA01,ME-A-01 Tres Rios,,,,,,"Adecuaciones hidráulicas, interconexiones y control operativo de caudales entre sectores.",,,,100.0,,
21,,Estación de rebombeo en CNP,"Nuevas interconexiones e infraestructura de rebombeo para optimizar la distribución entre Puente Mulas, Potrerillos, Santa Ana y MATRA.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA19,ME-A-19 Puente Mulas,,,,,,Complejidad operativa entre sistemas; definición de esquema hidráulico y control de caudales.,,,,100.0,,
22,,Mejorar abastecimiento en Bebedero,Modernización del rebombeo El Carmen mediante sustitución o incorporación de nuevas bombas y variadores de frecuencia.,Optimización,MEA07,ME-A-07 San Antonio de Escazu,,,,,,Disponibilidad eléctrica; adquisición e instalación de equipos electromecánicos.,Por verificar: se indica que posiblemente ya fue ejecutado por Luis Roberto.,,,,,
23,,Mejorar capacidad de producción de Los Sitios,Nueva aducción y mejoras en la captación de Río Macho para reforzar la producción del sistema.,Aumento de Recurso Hídrico,MEA04,ME-A-04 Los Sitios,,,,,,Obras en infraestructura existente; intervención en captación y conducción.,,,,,,
24,,Mejorar abastecimiento en Lajas,"Refuerzo del sistema para eliminar déficit, mejorar cobertura y aumentar confiabilidad operativa.",Optimización,MEA29,ME-A-29 Lajas,,,,,,Compra de terrenos y servidumbres; ejecución de obras de refuerzo.,Ejecutado.,,,,,
25,,Estabilizar infraestructura crítica,Protección y rehabilitación de estación de bombeo y tanque de Barbacoas afectados por condición de inestabilidad o deslizamiento.,Mantenimiento Correctivo y Preventivo,MEA31,ME-A-31 Puriscal,,,,,,Estabilización geotécnica del talud; protección de infraestructura existente.,,,,,,
26,,Mejorar confiabilidad de bombeo,"Modernización de la estación de bombeo de Barbacoas para mejorar confiabilidad, continuidad operativa y capacidad de respuesta.",Optimización,MEA31,ME-A-31 Puriscal,,,,,,Obras electromecánicas; continuidad operativa durante la intervención.,,,,,,
27,,"Completar infraestructura BCIE 2164, San José Oeste","Construcción o finalización de tanques, redes e infraestructura de bombeo en el sector oeste del acueducto.",Optimización,MEA19,ME-A-19 Puente Mulas,,,,,,Obtención de financiamiento; continuidad del proyecto y ejecución de componentes pendientes.,,,,,,
28,,"Completar infraestructura BCIE 2164, San José Oeste","Construcción o finalización de tanques, redes e infraestructura de bombeo en el sector oeste del acueducto.",Optimización,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,Obtención de financiamiento; continuidad del proyecto y ejecución de componentes pendientes.,,,,,,
29,,Completar proyecto BCIE 2164 para El Guarco,Construcción de planta potabilizadora en El Guarco con capacidad aproximada de 150 L/s.,Aumento de Recurso Hídrico,MEA27,ME-A-27 El Guarco,,,,,,Elaboración o actualización de diseños; obtención de financiamiento; ejecución de planta.,,,,150.0,,
30,,Completar proyecto BCIE 2164 para El Guarco,"Incorporación de tanques de almacenamiento para mejorar regulación, reserva y continuidad del sistema.",Mejora en Almacenamiento,MEA27,ME-A-27 El Guarco,,,,,,"Elaboración o actualización de diseños; obtención de financiamiento; adquisición de terrenos, si aplica.",,,,,5000.0,
31,,Completar proyecto BCIE 2164 para El Guarco,Mejoramiento de la distribución de caudales dentro del sistema para optimizar operación hidráulica.,Optimización,MEA27,ME-A-27 El Guarco,,,,,,Elaboración o actualización de diseños; obtención de financiamiento; definición del esquema operativo.,,,,,,
32,,Convenio de participación público-privada en Padre Carazo,Incorporación de tanques al sistema y eventual pozo de apoyo mediante esquema de participación público-privada.,Relación con ASADAS y terceros,MEA20,ME-A-20 Padre Carazo,,,,,,"Estudio hidrogeológico; estructuración técnica, legal y financiera del convenio.",,,,,,
33,,Mejorar la eficiencia y resiliencia del sistema Puente Mulas,"Diseño y construcción de infraestructura para reducir la dependencia operativa del Bombeo Puente Mulas y flexibilizar la operación entre Puente Mulas, Potrerillos, Santa Ana y MATRA.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA19,ME-A-19 Puente Mulas,,,,,,"Obtención de permisos, servidumbres, derechos de paso y autorizaciones; atención de condiciones geotécnicas, topográficas o constructivas no previstas.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 36,55. Horizonte: 2029. Atiende déficit, racionamientos en época seca y componentes con más de 40 años de operación.",,,100.0,,
34,,Incrementar producción mediante nuevo pozo en Jericó,"Estudios, adquisición de terreno, perforación, equipamiento electromecánico, sistema de desinfección y tanque de almacenamiento asociados a un pozo potencial ubicado junto a la planta de tratamiento del sistema.",Aumento de Recurso Hídrico,MEA30,ME-A-30 Jerico,,,,,,"Confirmar capacidad productiva y calidad del agua mediante estudios hidrogeológicos, topográficos, geotécnicos, viabilidad ambiental y pruebas de bombeo; adquisición del terreno.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 36,04. Horizonte: 2028. Podría beneficiar también al sector El Manzano.",,,7.0,,
35,,"Mejorar el acueducto Calle Picacho, Alto Guatuso",,Optimización,MEA11,ME-A-11 Guatuso Patarra,,,,,,,"Fase: idea de proyecto. Responsable: SAID. Puntaje: 36,00.",,,,,
36,,Incrementar producción del sistema El Guarco mediante nuevos pozos,"Perforación, equipamiento electromecánico e instalación de tubería para incorporar dos sitios recomendados por estudio hidrogeológico y aumentar la producción del sistema.",Aumento de Recurso Hídrico,MEA27,ME-A-27 El Guarco,,,,,,"Incertidumbre sobre rendimiento y capacidad de producción de los pozos; condiciones geológicas no previstas; adquisición de terrenos, permisos y equipamiento.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 26,79. Horizonte: 2028. El déficit hídrico remanente indicado es de aproximadamente 88 L/s.",,,25.0,,
37,,Incorporar pozo Rancho Redondo y mejorar interoperabilidad de Vista de Mar,Perforación y equipamiento del pozo Rancho Redondo para inyectar caudal al Tanque Vista de Mar y reforzar los sistemas Los Cuadros y Mata de Plátano.,Aumento de Recurso Hídrico,MEA28,ME-A-28 Vista de Mar,,,,,,"Confirmar rendimiento sostenible y calidad del agua; obtención de permisos, concesiones, viabilidad ambiental, servidumbres y autorizaciones.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 26,72. Horizonte: 2028. Atiende déficit, discontinuidad y racionamientos en época seca.",,,5.0,,
38,,Incorporar pozo Rancho Redondo y mejorar interoperabilidad de Vista de Mar,Perforación y equipamiento del pozo Rancho Redondo para inyectar caudal al Tanque Vista de Mar y reforzar los sistemas Los Cuadros y Mata de Plátano.,Aumento de Recurso Hídrico,MEA08,ME-A-08 Los Cuadros,,,,,,"Confirmar rendimiento sostenible y calidad del agua; obtención de permisos, concesiones, viabilidad ambiental, servidumbres y autorizaciones.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 26,72. Horizonte: 2028. Atiende déficit, discontinuidad y racionamientos en época seca.",,,5.0,,
39,,Incorporar pozo Rancho Redondo y mejorar interoperabilidad de Vista de Mar,Perforación y equipamiento del pozo Rancho Redondo para inyectar caudal al Tanque Vista de Mar y reforzar los sistemas Los Cuadros y Mata de Plátano.,Aumento de Recurso Hídrico,MEA10,ME-A-10 Mata de Plátano,,,,,,"Confirmar rendimiento sostenible y calidad del agua; obtención de permisos, concesiones, viabilidad ambiental, servidumbres y autorizaciones.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 26,72. Horizonte: 2028. Atiende déficit, discontinuidad y racionamientos en época seca.",,,2.0,,
40,,Reducir déficit del sistema Salitral mediante conducción desde Santa Ana,"Construcción de nueva línea de conducción interconectada a la línea de salida de 800 mm de la estación de bombeo de Santa Ana hacia Tanques Chirracal, para ampliar el área abastecida desde Potrerillos y reducir el área servida por Salitral.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA05,ME-A-05 Salitral,,,,,,"Contratación administrativa; obtención de permisos, servidumbres y derechos de paso; interferencias con infraestructura existente.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 26,20. Se indica déficit por capacidad hídrica de hasta 34 L/s.",,,20.0,,
41,,Perforar y equipar el pozo Las Cruces,"Incorporación de nueva fuente de producción mediante perforación, equipamiento electromecánico, conducción y puesta en operación del Pozo Las Cruces.",Aumento de Recurso Hídrico,MEA15,ME-A-15 San Pablo,,,,,,Validar disponibilidad eléctrica; confirmar calidad del agua; atender condiciones climáticas adversas y requerimientos de acceso al sitio.,"Fase: idea de proyecto. Responsable: SAID. Puntaje: 17,07. Horizonte: 2028. Validar si puede utilizarse el BPIP 2850, actualmente suspendido.",,,40.0,,
42,,Ampliar el acueducto Santiago-Barbacoas de Puriscal mediante nacientes Bajo Guevara,Captación de nacientes Bajo Guevara e incorporación de caudal al sistema de Puriscal para mejorar la relación oferta-demanda.,Aumento de Recurso Hídrico,MEA31,ME-A-31 Puriscal,,,,,,"Permisos ambientales, concesiones, viabilidades técnicas; adquisición de terrenos, servidumbres y derechos de paso.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 16,89. Horizonte: 2027. Aforos indicados: aproximadamente 15 L/s en invierno y 5 L/s en verano. Zona vulnerable a deslizamientos y cambios en calidad de agua.",,,5.0,,
43,,Impulsar caudal desde TA Ciudad Colón hacia San Bosco,"Diseño y construcción de estación de bombeo y línea de impulsión desde el Tanque de Almacenamiento Ciudad Colón hacia San Bosco, para fortalecer continuidad, confiabilidad y flexibilidad operativa.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,"Elaboración y aprobación de diseños; contratación administrativa; permisos, servidumbres, derechos de paso y autorizaciones.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 11,89. Horizonte: 2028.",,,10.0,,
44,,Remodelar la Planta Potabilizadora Guadalupe,"Diseño y construcción de nuevas unidades de floculación, sedimentación y filtración rápida, aprovechando terreno disponible al norte de la planta existente.",Mejora en procesos de potabilización,MEA02,ME-A-02 Guadalupe,,,,,,Ejecutar obras sin afectar la operación normal de la planta; adecuar infraestructura antigua a requerimientos actuales de calidad de agua.,"Fase: idea de proyecto. Responsable: SAID. Puntaje: 7,83. Horizonte: 2028. Esta necesidad se integraría en la solución planteada en GAM-A-15, GAM-A-14 y GAM-A-10; si se atiende completamente, debería eliminarse como iniciativa separada.",,,,,
45,,Integrar Calle La Mina al sistema Santa Ana,"Construcción y mejora de obras hidráulicas para integrar la infraestructura de Calle La Mina con el sistema Santa Ana, fortaleciendo continuidad, confiabilidad y flexibilidad operativa.",Mejora en trasvase de agua entre sistemas de abastecimiento,MEA16,ME-A-16 Potrerillos-San Antonio,,,,,,Riesgos durante interconexiones; posibles suspensiones temporales del servicio; estabilización hidráulica y operativa posterior a la integración.,"Fase: idea de proyecto. Responsable: SAID. Puntaje: 2,06. Referencia: oficio SG-GSGAM-2023-01104.",,,5.0,,
46,,Construir áreas operativas del Plantel Puente Negro en Orosí,"Diseño y construcción de áreas operativas, administrativas, de almacenamiento y mantenimiento para fortalecer la gestión institucional y la atención del servicio en la zona.",Optimización,MEA01,ME-A-01 Tres Rios,,,,,,Suministro de materiales y equipos; disponibilidad de servicios básicos; ajustes de alcance; riesgos de seguridad ocupacional durante construcción.,"Fase: idea de proyecto. Responsable: SAID. Puntaje: 1,00. Horizonte: 2028. No corresponde directamente a un sistema de abastecimiento específico.",,,,,
47,,Mejorar el sistema de acueducto de Mora y Puriscal,"Ejecución de obras de infraestructura y optimización para incrementar disponibilidad hídrica, continuidad, confiabilidad y capacidad de atención de demanda actual y futura.",Aumento de Recurso Hídrico,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,"Disponibilidad y sostenibilidad de fuentes; suministro de materiales y equipos; afectaciones temporales durante interconexiones, mejoras o sustitución de componentes.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 0,00. Horizonte: 2029.",,,5.0,,
48,,Mejorar el sistema de acueducto de Mora y Puriscal,"Ejecución de obras de infraestructura y optimización para incrementar disponibilidad hídrica, continuidad, confiabilidad y capacidad de atención de demanda actual y futura.",Aumento de Recurso Hídrico,MEA31,ME-A-31 Puriscal,,,,,,"Disponibilidad y sostenibilidad de fuentes; suministro de materiales y equipos; afectaciones temporales durante interconexiones, mejoras o sustitución de componentes.","Fase: idea de proyecto. Responsable: SAID. Puntaje: 0,00. Horizonte: 2029.",,,15.0,,
