escenario,cluster,cod,sistema,anio,balance_lps
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2024,-240.83
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2025,-258.4
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2026,-289.97
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2027,-322.29
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2028,-356.5
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2029,-392.2
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2030,-429.26
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2031,-467.59
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2032,-508.78
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2033,-550.84
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2034,-593.77
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2035,-637.61
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2036,-682.38
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2037,-729.37
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2038,-777.37
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2039,-826.41
SIN_PAAM,CLUSTER C-1,MEA01,ME-A-01 Tres Rios,2040,-876.5
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2024,72.85
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2025,6.5
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2026,2.6
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2027,-1.1
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2028,-5.06
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2029,-9.19
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2030,-13.49
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2031,-17.96
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2032,-22.76
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2033,-27.66
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2034,-32.64
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2035,-37.74
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2036,-42.93
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2037,-48.42
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2038,-54.02
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2039,-59.75
SIN_PAAM,CLUSTER C-1,MEA02,ME-A-02 Guadalupe,2040,-65.58
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2024,2.44
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2025,2.91
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2026,2.79
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2027,2.75
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2028,2.7
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2029,2.66
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2030,2.62
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2031,2.58
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2032,2.54
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2033,2.5
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2034,2.46
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2035,2.42
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2036,2.38
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2037,2.29
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2038,2.21
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2039,2.09
SIN_PAAM,CLUSTER C-3,MEA03,ME-A-03 El Llano,2040,1.92
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2024,-105.72
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2025,13.51
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2026,7.37
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2027,1.11
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2028,-5.57
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2029,-12.54
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2030,-19.77
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2031,-27.25
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2032,-35.29
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2033,-43.5
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2034,-51.88
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2035,-60.44
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2036,-69.17
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2037,-78.33
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2038,-87.7
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2039,-97.26
SIN_PAAM,CLUSTER C-1,MEA04,ME-A-04 Los Sitios,2040,-107.03
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2024,-4.07
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2025,-8.94
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2026,-9.68
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2027,-10.64
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2028,-11.77
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2029,-12.94
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2030,-14.14
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2031,-15.36
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2032,-16.67
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2033,-18.03
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2034,-19.41
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2035,-20.84
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2036,-22.31
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2037,-23.81
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2038,-25.35
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2039,-26.91
SIN_PAAM,CLUSTER C-6,MEA05,ME-A-05 Salitral,2040,-28.52
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2024,-26.49
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2025,-8.78
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2026,-10.45
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2027,-12.24
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2028,-14.17
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2029,-16.18
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2030,-18.26
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2031,-20.4
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2032,-22.71
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2033,-25.06
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2034,-27.47
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2035,-29.93
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2036,-32.43
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2037,-35.06
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2038,-37.75
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2039,-40.49
SIN_PAAM,CLUSTER C-3,MEA06,ME-A-06 San Juan de Dios,2040,-43.3
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2024,-6.83
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2025,-4.64
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2026,-6.09
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2027,-6.12
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2028,-6.15
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2029,-6.18
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2030,-6.21
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2031,-6.24
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2032,-6.27
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2033,-6.3
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2034,-6.33
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2035,-6.35
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2036,-6.38
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2037,-6.41
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2038,-6.44
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2039,-6.47
SIN_PAAM,CLUSTER C-3,MEA07,ME-A-07 San Antonio de Escazu,2040,-6.5
SIN_PAAM,CLUSTER C-1,MEA08,ME-A-08 Los Cuadros,2024,-12.02
SIN_PAAM,CLUSTER C-1,MEA08,ME-A-08 Los Cuadros,2025,-9.19
SIN_PAAM,CLUSTER C-1,MEA08,ME-A-08 Los Cuadros,2026,-10.87
SIN_PAAM,CLUSTER C-1,MEA08,ME-A-08 Los Cuadros,2027,-13.21
SIN_PAAM,CLUSTER C-1,MEA08,ME-A-08 Los Cuadros,2028,-15.6
