id,accion,bpip,proyecto,descripcion,latitud,longitud,estado_iniciativa,inicio_perforacion,fin_perforacion,tipo_incorporacion,expectativa_caudal_lps,caudal_temporal_lps,poblacion_beneficiada_estimada,anio_incorporacion_texto,anio_efecto,sistema_codigo,sistema_nombre,cluster,beneficios,impacto,actividades_criticas,dependencia_responsable,estudio_hidrogeologico,situacion_terrenos,activo_en_capacidad,observaciones
1,Inmediato,2929,Pozo La Florida 2,"Desarrollar la infraestructura necesaria para aprovechar el caudal de los pozos La Florida 2 y San Blas, así como también implementar el trasvase desde el Tanque Tibás hacia los tanques San Blas, con el objetivo de dirigir el caudal de la planta potabilizadora Los Sitios (mediante la cual se refuerzan los tanques San Blas del sistema ME-A-02 Guadalupe) hacia la distribución de los distritos de La Trinidad y San Vicente de Moravia. Los requerimientos principales que se incluyen dentro del alcance del proyecto se enlistan a continuación: ii. Perforación de pozo La Florida 2  iii. Diseño y construcción de la estación de bombeo del pozo La Florida 2  (40 l/s) iv. Perforación de pozo San Blas  (YA PERFORADO), se incorpora como alternativa aparte. v. Diseño y construcción de la estación de bombeo del pozo San Blas  vi. Diseño y construcción de la estación de bombeo Tanque Tibás – Tanques San Blas ( vii. Tubería de impulsión Pozo La Florida 2 – Tanque Tibás viii. Tubería de impulsión Tanque Tibás – Tanques San Blas",9.9639422,84.0617328,Incorporado,-,-,Definitiva,40.0,14.0,3455.0,2026,2026.0,MEA04,ME-A-04 Los Sitios,CLUSTER C-1,,,,UEN OS,UEN-GA-2020-03889,Adquiridos,True,Ejecutado
2,Inmediato,2849,Goal 1 y 2,"Aumentar la producción del Acueducto Metropolitano a través de la construcción de dos pozos (Goal 1 y Goal 2) en San Rafael de Alajuela, la rehabilitación de la línea de impulsión y puesta en operación del pozo Zamora en San Antonio de Belén (Heredia)  y obras complementarias de infraestructura para mejorar las condiciones de abastecimiento de los barrios del sur de San José, Alajuelita y San Juan de Dios de Desamparados.",9.9718901,84.2023532,Proyecto en ejecución (Incorporado temporal),-,-,Temporal,110.0,60.0,14806.0,2024-2026,2026.0,MEA19,ME-A-19 Puente Mulas,CLUSTER C-3,,,,UEN OS,UEN-GA-2013-1346,Adquiridos,True,"En proceso de ejecución. Se puede operar temporalmente en verano 2026, depende de avance de obra."
3,Inmediato,2822,Pozo W20,"3- Una tercera etapa que se divide en fases:   3.1- Incorporación de una tubería diámetro 500mm hasta la altura del pozo W4, instalación a cargo de personal operativo de GAM.  3.2 -Construcción de tubería diámetro 500mm desde el pozo W4 hasta Interconexión La Peregrina, que junto con la tubería colocada en la primera fase permita optimizar el sistema y se alcance una producción global de 1420 l/s.  3.3 -Se construirá una estación de rebombeo en campo de pozos Rinconada, estación de desinfección y obras complementarias.  3.4 -Se ejecutará la perforación de pozos adicionales, en primera instancia se construirán pozos W18 y W20 para su equipamiento, y adicionalmente en terreno de pozo W20 se construirá una estación de desinfección y obras complementarias. Asimismo, se construirá el pozo W19, el cuál se deberá equipar e interconectar a la tubería de 700mm proveniente de La Valencia.  Este proyecto incluia todos los pozos W intervenidos (3 a 4 más de los proyectados deberan ubicarse) mejora linea preegrina y uruca.  Pozos W18-W19-W20 en campo de pozos la valencia (20 ya perforado y 19 falta perforar y 18 operando) recomendado incluir de 3-4 más.",9.9694197,84.1144092,En analisis de ofertas (Incorporado temporal),-,-,Temporal,100.0,90.0,22209.0,2025-2028,2028.0,MEA17,ME-A-17 La Valencia,CLUSTER C-2,,,,SAID,UEN-GA-2020-01602,Adquiridos,True,En proceso de  análisis de ofertas. Ya cuenta con acometida eléctrica provisional.
4,Corto plazo,3533,Pozo W2.1,"Perforación , equipamiento e interconexión de pozo W2.1",9.96395843,-84.11241224,Perforación detenida,01/11/2025,30/05/2026,Definitiva,55.0,,0.0,2028,2028.0,MEA17,ME-A-17 La Valencia,CLUSTER C-2,,,,SAID,no,Adquiridos,True,"Se adelanto el inicio de la perforación para le mes de octubre 2025, sin embargo, se detuvo perforación por interferencia con el pozo W2"
5,Mediano plazo,3533,Pozo Guadalupe 2,"Perforación , equipamiento e interconexión de pozo Guadalupe 2",9.96442751,84.03091277,En elaboración de terminos de referencia (Incorporados temporal),-,-,Definitiva,100.0,100.0,24676.0,2026-2028,2028.0,MEA02,ME-A-02 Guadalupe,CLUSTER C-1,,,,SAID,UEN-GA-2024-00882,Adquiridos,True,"Se finalizó prueba de caudal en noviembre 2025, se esta en proceso de elaboración de términos de referencia (El alcance contempla construcción de caseta de bombeo para los pozos Guadalupe 1 y 2, construcción de caseta de cloración de cilindro de tonelada, remodelación de la estación de bombeo de Guadalupe con capacidad de bar 60 l/s a la estación de Ipis y Cuadros. El pozo Guadalupe 2 actualmente opera con una acometida eléctrica 24/7, sin embargo, es urgente mejorar las condiciones."
6,Corto plazo,requiere,Pozo Meseta 2,Pozo nuevo en terreno por adquirir (en proceso de compra) para nuevo tanque La Meseta.,10.00467095,84.095222,En proceso de perforación,17/09/2025,30/03/2026,Definitiva,20.0,,0.0,2029,2029.0,MEA15,ME-A-15 San Pablo,CLUSTER C-2,,,,UEN OS,UEN-GA-2020-03331,Adquiridos,True,"En proceso de perforación, El proceso de perforación fue reiniciado en otro punto, debido a que la broca se quedo atrapada. Actualmente se tiene un avance de 92 m. Requiere inscripción en BPIP"
7,Mediano plazo,requiere,Pozo Cipreses 2 (Reperforación),Reperforacion de pozo Cipreses 2.,9.92151206,84.02137541,Pendiente programar perforación,-,-,Definitiva,5.0,,0.0,-,,MEA01,ME-A-01 Tres Rios,CLUSTER C-1,,,,UEN OS,UEN-GA-2020-04463,Adquiridos,True,"Se debe valorar espacio de perforación,  Ya que el terreno es muy pequeño, y no cumple con los retiros mínimos."
8,Mediano plazo,2822,Pozo W19,"3- Una tercera etapa que se divide en fases:   3.1- Incorporación de una tubería diámetro 500mm hasta la altura del pozo W4, instalación a cargo de personal operativo de GAM.  3.2 -Construcción de tubería diámetro 500mm desde el pozo W4 hasta Interconexión La Peregrina, que junto con la tubería colocada en la primera fase permita optimizar el sistema y se alcance una producción global de 1420 l/s.  3.3 -Se construirá una estación de rebombeo en campo de pozos Rinconada, estación de desinfección y obras complementarias.  3.4 -Se ejecutará la perforación de pozos adicionales, en primera instancia se construirán pozos W18 y W20 para su equipamiento, y adicionalmente en terreno de pozo W20 se construirá una estación de desinfección y obras complementarias. Asimismo, se construirá el pozo W19, el cuál se deberá equipar e interconectar a la tubería de 700mm proveniente de La Valencia.  Este proyecto incluia todos los pozos W intervenidos (3 a 4 más de los proyectados deberan ubicarse) mejora linea preegrina y uruca.  Pozos W18-W19-W20 en campo de pozos la valencia (20 ya perforado y 19 falta perforar y 18 operando) recomendado incluir de 3-4 más.   W18= 100 l/s. W19=70 l/s. W20= 70l/s.",9.9694197,84.1144092,Pendiente programar perforación,,,Definitiva,75.0,,0.0,2029,2029.0,MEA17,ME-A-17 La Valencia,CLUSTER C-2,,,,SAID,UEN-GA-2020-01602,Adquiridos,True,Se finalizó proceso judicial con el propietario para inicio de perforación. La UEN PyC debe programar la perforación del pozo con la UEN AP.
9,Corto plazo,requiere,Pozo La Finca Coronado,"De ser positivo el potencial de un pozo, se requiere el apoyo de la Unidad Técnica de Perforación de Pozos, para que se realice la perforación del mismo, siguiendo la prioridad indicada.",9.96965704,83.99640275,En proceso de perforación,01/04/2026,30/11/2026,Definitiva,10.0,,0.0,2028,2028.0,MEA08,ME-A-08 Los Cuadros,CLUSTER C-1,,,,UEN OS,UEN-GA-2025-01456,Adquiridos,True,En proceso de perforación requiere inscripción en BPIP
10,Mediano plazo,requiere,Pozo Tanque Ipis,"Perforación , equipamiento e interconexión de pozo en sitio de Tanque Ipis",9.9649509,84.0179578,Pendiente programar perforación,-,-,Definitiva,5.0,,0.0,-,,MEA01,ME-A-01 Tres Rios,CLUSTER C-1,,,,UEN OS,no,Adquiridos,True,"Se debe valorar espacio de perforación y viabiliadd hidrogeológica, el espacio existente en el tanque Ipis no cumple con el retiro, ni con la viabilidad de ingreso de equipo de perforación."
